age,sex,year,value
57,male,1985,2.7918787002314974e-5
57,male,1986,2.7357306881912496e-5
57,male,1987,2.679582676151002e-5
57,male,1988,2.623434664110754e-5
57,male,1989,2.5672866520705068e-5
57,male,1990,2.511138640030259e-5
57,male,1991,2.4799247008197426e-5
57,male,1992,2.448710761609226e-5
57,male,1993,2.4174968223987096e-5
57,male,1994,2.386282883188193e-5
57,male,1995,2.355068943977677e-5
57,male,1996,2.3238550047671605e-5
57,male,1997,2.292641065556644e-5
57,male,1998,2.2614271263461276e-5
57,male,1999,2.230213187135611e-5
57,male,2000,2.1989992479250946e-5
57,male,2001,1.9972205840722713e-5
57,male,2002,1.960325371458892e-5
57,male,2003,1.9272744084851766e-5
57,male,2004,1.898999741750668e-5
57,male,2005,1.876101263356758e-5
57,male,2006,1.8585940530157448e-5
57,male,2007,1.846070660566053e-5
57,male,2008,1.837755615835993e-5
57,male,2009,1.832529143515691e-5
57,male,2010,1.8291690223912976e-5
57,male,2011,1.8267314223412477e-5
57,male,2012,1.824634816242956e-5
57,male,2013,1.8226028313204677e-5
58,female,1970,2.0831962227287254e-5
58,female,1971,2.0470802692384748e-5
58,female,1972,2.010964315748224e-5
58,female,1973,1.9748483622579736e-5
58,female,1974,1.938732408767723e-5
58,female,1975,1.9026164552774724e-5
58,female,1976,1.866500501787222e-5
58,female,1977,1.8303845482969715e-5
58,female,1978,1.794268594806721e-5
58,female,1979,1.7581526413164703e-5
58,female,1980,1.7220366878262197e-5
58,female,1981,1.7123954466070028e-5
58,female,1982,1.702754205387786e-5
58,female,1983,1.6931129641685687e-5
58,female,1984,1.6834717229493517e-5
58,female,1985,1.673830481730135e-5
58,female,1986,1.664189240510918e-5
58,female,1987,1.654547999291701e-5
58,female,1988,1.6449067580724838e-5
58,female,1989,1.635265516853267e-5
58,female,1990,1.62562427563405e-5
58,female,1991,1.6003943137257287e-5
58,female,1992,1.5751643518174074e-5
58,female,1993,1.549934389909086e-5
58,female,1994,1.5247044280007647e-5
58,female,1995,1.4994744660924434e-5
58,female,1996,1.4742445041841223e-5
58,female,1997,1.449014542275801e-5
58,female,1998,1.4237845803674797e-5
58,female,1999,1.3985546184591584e-5
58,female,2000,1.3733246565508371e-5
58,female,2001,1.3990131573029e-5
58,female,2002,1.372690758390531e-5
58,female,2003,1.3469963343590416e-5
58,female,2004,1.3223123584295973e-5
58,female,2005,1.2989710663708132e-5
58,female,2006,1.2772388564066088e-5
58,female,2007,1.2572360414591905e-5
58,female,2008,1.2388754091745642e-5
58,female,2009,1.2218970300895638e-5
58,female,2010,1.2060950043085093e-5
58,female,2011,1.1912577762952568e-5
58,female,2012,1.1771278686615485e-5
58,female,2013,1.1634293288406349e-5
58,male,1970,4.674866746191897e-5
58,male,1971,4.545669522896022e-5
58,male,1972,4.416472299600148e-5
58,male,1973,4.2872750763042736e-5
58,male,1974,4.158077853008399e-5
58,male,1975,4.028880629712525e-5
58,male,1976,3.8996834064166505e-5
58,male,1977,3.770486183120776e-5
58,male,1978,3.641288959824901e-5
58,male,1979,3.512091736529027e-5
58,male,1980,3.3828945132331524e-5
58,male,1981,3.324193428136167e-5
58,male,1982,3.2654923430391814e-5
58,male,1983,3.206791257942196e-5
58,male,1984,3.1480901728452104e-5
58,male,1985,3.089389087748225e-5
58,male,1986,3.0306880026512394e-5
58,male,1987,2.971986917554254e-5
58,male,1988,2.9132858324572683e-5
58,male,1989,2.854584747360283e-5
58,male,1990,2.7958836622632973e-5
58,male,1991,2.7566468365165916e-5
58,male,1992,2.717410010769886e-5
58,male,1993,2.6781731850231804e-5
58,male,1994,2.6389363592764746e-5
58,male,1995,2.599699533529769e-5
58,male,1996,2.5604627077830635e-5
58,male,1997,2.5212258820363577e-5
58,male,1998,2.481989056289652e-5
58,male,1999,2.4427522305429465e-5
58,male,2000,2.4035154047962408e-5
58,male,2001,2.1909954658965947e-5
58,male,2002,2.1468825536148916e-5
58,male,2003,2.1070137992075943e-5
58,male,2004,2.0725476252732623e-5
58,male,2005,2.0442550572510426e-5
58,male,2006,2.0222178276646115e-5
58,male,2007,2.005996203902002e-5
58,male,2008,1.994704252779712e-5
58,male,2009,1.9870658086955255e-5
58,male,2010,1.9817045148030053e-5
58,male,2011,1.977544319389802e-5
58,male,2012,1.9738973691612774e-5
58,male,2013,1.9704056351894206e-5
59,female,1970,2.2570534307716394e-5
59,female,1971,2.2176065030192967e-5
59,female,1972,2.178159575266954e-5
59,female,1973,2.1387126475146115e-5
59,female,1974,2.099265719762269e-5
59,female,1975,2.0598187920099263e-5
59,female,1976,2.0203718642575833e-5
59,female,1977,1.9809249365052407e-5
59,female,1978,1.941478008752898e-5
59,female,1979,1.9020310810005555e-5
59,female,1980,1.862584153248213e-5
59,female,1981,1.858174044249034e-5
59,female,1982,1.853763935249855e-5
59,female,1983,1.849353826250676e-5
59,female,1984,1.8449437172514975e-5
59,female,1985,1.8405336082523184e-5
59,female,1986,1.8361234992531394e-5
59,female,1987,1.8317133902539607e-5
59,female,1988,1.8273032812547817e-5
59,female,1989,1.822893172255603e-5
59,female,1990,1.818483063256424e-5
59,female,1991,1.7881643239558894e-5
59,female,1992,1.757845584655355e-5
59,female,1993,1.7275268453548203e-5
59,female,1994,1.6972081060542853e-5
59,female,1995,1.6668893667537507e-5
59,female,1996,1.636570627453216e-5
59,female,1997,1.6062518881526816e-5
59,female,1998,1.575933148852147e-5
59,female,1999,1.5456144095516124e-5
59,female,2000,1.5152956702510776e-5
59,female,2001,1.5375878102501997e-5
59,female,2002,1.5080247266862711e-5
59,female,2003,1.4789992897672357e-5
59,female,2004,1.4509803450412144e-5
59,female,2005,1.4243889208995851e-5
59,female,2006,1.3995656778860487e-5
59,female,2007,1.3766755399388276e-5
59,female,2008,1.3556391406358922e-5
59,female,2009,1.3361743136453712e-5
59,female,2010,1.3180518415703743e-5
59,female,2011,1.3010300441409231e-5
59,female,2012,1.2848156193483933e-5
59,female,2013,1.2690982445922935e-5
59,male,1970,5.020424833293379e-5
59,male,1971,4.892730100473282e-5
59,male,1972,4.7650353676531854e-5
59,male,1973,4.637340634833089e-5
59,male,1974,4.509645902012992e-5
59,male,1975,4.381951169192895e-5
59,male,1976,4.2542564363727985e-5
59,male,1977,4.126561703552702e-5
59,male,1978,3.998866970732605e-5
59,male,1979,3.871172237912508e-5
59,male,1980,3.7434775050924117e-5
59,male,1981,3.679437425080196e-5
59,male,1982,3.6153973450679796e-5
59,male,1983,3.551357265055764e-5
59,male,1984,3.4873171850435476e-5
59,male,1985,3.423277105031332e-5
59,male,1986,3.359237025019116e-5
59,male,1987,3.2951969450069e-5
59,male,1988,3.231156864994684e-5
59,male,1989,3.167116784982468e-5
59,male,1990,3.103076704970252e-5
59,male,1991,3.05545620130453e-5
59,male,1992,3.007835697638808e-5
59,male,1993,2.9602151939730863e-5
59,male,1994,2.912594690307364e-5
59,male,1995,2.864974186641642e-5
59,male,1996,2.81735368297592e-5
59,male,1997,2.769733179310198e-5
59,male,1998,2.722112675644476e-5
59,male,1999,2.6744921719787537e-5
59,male,2000,2.626871668313032e-5
59,male,2001,2.4054273583032196e-5
59,male,2002,2.3528591862848674e-5
59,male,2003,2.3049299805764235e-5
59,male,2004,2.2630652569685482e-5
59,male,2005,2.2282425926747943e-5
59,male,2006,2.2006310051416598e-5
59,male,2007,2.1797635378879445e-5
59,male,2008,2.1646358188150973e-5
59,male,2009,2.1537995564928827e-5
59,male,2010,2.1457101429681618e-5
59,male,2011,2.13914748427984e-5
59,male,2012,2.1333062508644664e-5
59,male,2013,2.127734811169618e-5
60,female,1970,2.4531201564712234e-5
60,female,1971,2.4092317261374208e-5
60,female,1972,2.3653432958036185e-5
60,female,1973,2.3214548654698163e-5
60,female,1974,2.2775664351360137e-5
60,female,1975,2.233678004802211e-5
60,female,1976,2.1897895744684088e-5
60,female,1977,2.1459011441346066e-5
60,female,1978,2.102012713800804e-5
60,female,1979,2.0581242834670014e-5
60,female,1980,2.014235853133199e-5
60,female,1981,2.0150632858628026e-5
60,female,1982,2.015890718592406e-5
60,female,1983,2.0167181513220092e-5
60,female,1984,2.0175455840516127e-5
60,female,1985,2.0183730167812162e-5
60,female,1986,2.0192004495108196e-5
60,female,1987,2.020027882240423e-5
60,female,1988,2.0208553149700263e-5
60,female,1989,2.0216827476996297e-5
60,female,1990,2.0225101804292332e-5
60,female,1991,1.9875129805844955e-5
60,female,1992,1.9525157807397575e-5
60,female,1993,1.9175185808950198e-5
60,female,1994,1.8825213810502818e-5
60,female,1995,1.847524181205544e-5
60,female,1996,1.8125269813608064e-5
60,female,1997,1.7775297815160684e-5
60,female,1998,1.7425325816713307e-5
60,female,1999,1.7075353818265927e-5
60,female,2000,1.672538181981855e-5
60,female,2001,1.689655072290139e-5
60,female,2002,1.6566982718136976e-5
60,female,2003,1.6241491533562458e-5
60,female,2004,1.5925762712928694e-5
60,female,2005,1.562504946928151e-5
60,female,2006,1.5343634767824335e-5
60,female,2007,1.5083704721979761e-5
60,female,2008,1.484458700356887e-5
60,female,2009,1.4623242406762457e-5
60,female,2010,1.4417138625997977e-5
60,female,2011,1.4223529743696698e-5
60,female,2012,1.4039085773757577e-5
60,female,2013,1.386032529750144e-5
60,male,1970,5.372003763770079e-5
60,male,1971,5.24859223913977e-5
60,male,1972,5.125180714509461e-5
60,male,1973,5.001769189879153e-5
60,male,1974,4.878357665248844e-5
60,male,1975,4.754946140618535e-5
60,male,1976,4.631534615988226e-5
60,male,1977,4.5081230913579176e-5
60,male,1978,4.384711566727608e-5
60,male,1979,4.2613000420972996e-5
60,male,1980,4.137888517466991e-5
60,male,1981,4.065992810669835e-5
60,male,1982,3.99409710387268e-5
60,male,1983,3.9222013970755235e-5
60,male,1984,3.850305690278368e-5
60,male,1985,3.7784099834812126e-5
60,male,1986,3.706514276684057e-5
60,male,1987,3.6346185698869016e-5
60,male,1988,3.5627228630897454e-5
60,male,1989,3.49082715629259e-5
60,male,1990,3.4189314494954344e-5
60,male,1991,3.364115017075812e-5
60,male,1992,3.30929858465619e-5
60,male,1993,3.254482152236567e-5
60,male,1994,3.1996657198169444e-5
60,male,1995,3.1448492873973223e-5
60,male,1996,3.0900328549776997e-5
60,male,1997,3.0352164225580773e-5
60,male,1998,2.980399990138455e-5
60,male,1999,2.9255835577188323e-5
60,male,2000,2.87076712529921e-5
60,male,2001,2.64269907676699e-5
60,male,2002,2.580355396203078e-5
60,male,2003,2.5230418459754343e-5
60,male,2004,2.4724955493281764e-5
60,male,2005,2.4299389151089837e-5
60,male,2006,2.3956501608273936e-5
60,male,2007,2.3691400582715792e-5
60,male,2008,2.349276748186973e-5
60,male,2009,2.3344225224227125e-5
60,male,2010,2.3228490248918777e-5
60,male,2011,2.3131792141306894e-5
60,male,2012,2.3044783399377593e-5
60,male,2013,2.2961886668557602e-5
61,female,1970,2.674208777290123e-5
61,female,1971,2.6253168452601586e-5
61,female,1972,2.5764249132301942e-5
61,female,1973,2.5275329812002298e-5
61,female,1974,2.4786410491702654e-5
61,female,1975,2.429749117140301e-5
61,female,1976,2.3808571851103366e-5
61,female,1977,2.331965253080372e-5
61,female,1978,2.2830733210504078e-5
61,female,1979,2.2341813890204433e-5
61,female,1980,2.185289456990479e-5
61,female,1981,2.189429456676482e-5
61,female,1982,2.1935694563624852e-5
61,female,1983,2.1977094560484886e-5
61,female,1984,2.2018494557344918e-5
61,female,1985,2.205989455420495e-5
61,female,1986,2.210129455106498e-5
61,female,1987,2.214269454792501e-5
61,female,1988,2.2184094544785046e-5
61,female,1989,2.2225494541645077e-5
61,female,1990,2.2266894538505108e-5
61,female,1991,2.1886869903067528e-5
61,female,1992,2.1506845267629948e-5
61,female,1993,2.1126820632192368e-5
61,female,1994,2.0746795996754788e-5
61,female,1995,2.0366771361317208e-5
61,female,1996,1.998674672587963e-5
61,female,1997,1.960672209044205e-5
61,female,1998,1.922669745500447e-5
61,female,1999,1.884667281956689e-5
61,female,2000,1.846664818412931e-5
61,female,2001,1.856636417210975e-5
61,female,2002,1.8201293774660683e-5
61,female,2003,1.7838568234700254e-5
61,female,2004,1.748501205890978e-5
61,female,2005,1.7147087599502634e-5
61,female,2006,1.6830098052391367e-5
61,female,2007,1.6536864575805394e-5
61,female,2008,1.626688327361971e-5
61,female,2009,1.6016903690582625e-5
61,female,2010,1.5784146595470582e-5
61,female,2011,1.556550741104418e-5
61,female,2012,1.5357217849335812e-5
61,female,2013,1.5155381441627677e-5
61,male,1970,5.7687695056240094e-5
61,male,1971,5.648241492030349e-5
61,male,1972,5.527713478436689e-5
61,male,1973,5.4071854648430285e-5
61,male,1974,5.286657451249368e-5
61,male,1975,5.166129437655707e-5
61,male,1976,5.0456014240620476e-5
61,male,1977,4.9250734104683866e-5
61,male,1978,4.804545396874726e-5
61,male,1979,4.684017383281066e-5
61,male,1980,4.5634893696874057e-5
61,male,1981,4.482320858686974e-5
61,male,1982,4.4011523476865434e-5
61,male,1983,4.3199838366861126e-5
61,male,1984,4.238815325685681e-5
61,male,1985,4.15764681468525e-5
61,male,1986,4.076478303684819e-5
61,male,1987,3.995309792684388e-5
61,male,1988,3.914141281683957e-5
61,male,1989,3.832972770683525e-5
61,male,1990,3.7518042596830945e-5
61,male,1991,3.690328569207406e-5
61,male,1992,3.6288528787317165e-5
61,male,1993,3.567377188256028e-5
61,male,1994,3.5059014977803385e-5
61,male,1995,3.44442580730465e-5
61,male,1996,3.382950116828961e-5
61,male,1997,3.321474426353272e-5
61,male,1998,3.259998735877583e-5
61,male,1999,3.198523045401894e-5
61,male,2000,3.137047354926205e-5
61,male,2001,2.9052225697211628e-5
61,male,2002,2.831704037546078e-5
61,male,2003,2.763603776475072e-5
61,male,2004,2.7030189643997192e-5
61,male,2005,2.6514582014287504e-5
61,male,2006,2.6093323514142252e-5
61,male,2007,2.5761349806259645e-5
61,male,2008,2.5505967728345104e-5
61,male,2009,2.5308718295198856e-5
61,male,2010,2.515031191776003e-5
61,male,2011,2.5015268697577467e-5
61,male,2012,2.489281931732945e-5
61,male,2013,2.477619471827884e-5
62,female,1970,2.912078335813545e-5
62,female,1971,2.859553339185588e-5
62,female,1972,2.807028342557631e-5
62,female,1973,2.754503345929674e-5
62,female,1974,2.701978349301717e-5
62,female,1975,2.64945335267376e-5
62,female,1976,2.596928356045803e-5
62,female,1977,2.544403359417846e-5
62,female,1978,2.491878362789889e-5
62,female,1979,2.439353366161932e-5
62,female,1980,2.3868283695339748e-5
62,female,1981,2.3904189754107392e-5
62,female,1982,2.3940095812875037e-5
62,female,1983,2.397600187164268e-5
62,female,1984,2.4011907930410326e-5
62,female,1985,2.404781398917797e-5
62,female,1986,2.408372004794561e-5
62,female,1987,2.4119626106713256e-5
62,female,1988,2.41555321654809e-5
62,female,1989,2.4191438224248545e-5
62,female,1990,2.422734428301619e-5
62,female,1991,2.3844063555144438e-5
62,female,1992,2.3460782827272687e-5
62,female,1993,2.3077502099400932e-5
62,female,1994,2.269422137152918e-5
62,female,1995,2.231094064365743e-5
62,female,1996,2.1927659915785678e-5
62,female,1997,2.1544379187913926e-5
62,female,1998,2.1161098460042172e-5
62,female,1999,2.077781773217042e-5
62,female,2000,2.039453700429867e-5
62,female,2001,2.040112362049142e-5
62,female,2002,1.999894936851461e-5
62,female,2003,1.9596921204506337e-5
62,female,2004,1.920315231984894e-5
