age,sex,year,value
84,female,1978,0.00030531275279342804
84,female,1979,0.0002965420188501609
84,female,1980,0.00029519985717511735
84,female,1981,0.00029550483615055204
84,female,1982,0.00029129912372412704
84,female,1983,0.00028974647218485937
84,female,1984,0.0002791753461134177
84,female,1985,0.00027444978237179
84,female,1986,0.00026508337777170546
84,female,1987,0.00025728239201459007
84,female,1988,0.0002475847905704217
84,female,1989,0.0002401621956057261
84,female,1990,0.00023529457174209915
84,female,1991,0.00023040580332829143
84,female,1992,0.000223207795740833
84,female,1993,0.00021819228648823244
84,female,1994,0.00021055314940365925
84,female,1995,0.00020623965168201547
84,female,1996,0.00020137297427416998
84,female,1997,0.0001996054159748579
84,female,1998,0.00019686795373924316
84,female,1999,0.00019451533538973517
84,female,2000,0.00019316349465431387
84,female,2001,0.00018946404100618258
84,female,2002,0.00018579888079442425
84,female,2003,0.0001845099110072461
84,female,2004,0.00017763589722508203
84,female,2005,0.00017165347904555568
84,female,2006,0.00016097603092343272
84,female,2007,0.00015711680354953415
84,female,2008,0.00015242342691665166
84,female,2009,0.00015109220501112496
84,female,2010,0.0001494146298628063
84,female,2011,0.0001452251834748777
84,female,2012,0.0001432626834848351
84,female,2013,0.0001410709645233255
84,female,2014,0.00013853537462489067
84,female,2015,0.0001354842558718996
84,female,2016,0.0001335862188799505
84,female,2017,0.0001330688007075259
84,female,2018,0.0001301673221173501
84,female,2019,0.00012769917761471016
84,male,1977,0.00043724384381182545
84,male,1978,0.00042826495182989217
84,male,1979,0.00041870917774319816
84,male,1980,0.0004207198303158913
84,male,1981,0.0004194430543874946
84,male,1982,0.00041896441687418634
84,male,1983,0.0004214542461694565
84,male,1984,0.0004140870877725442
84,male,1985,0.00041045863976190745
84,male,1986,0.0004001406976726645
84,male,1987,0.00038916706273699523
84,male,1988,0.0003766345049542738
84,male,1989,0.00036375251994904824
84,male,1990,0.0003575993656552165
84,male,1991,0.0003511798591944027
84,male,1992,0.0003439991435909041
84,male,1993,0.00033900551627755453
84,male,1994,0.00033201115836677483
84,male,1995,0.0003274404453104962
84,male,1996,0.00032173776338914183
84,male,1997,0.0003171226710741472
84,male,1998,0.0003142037977819707
84,male,1999,0.00031055190975326746
84,male,2000,0.0003081302345202594
84,male,2001,0.0003020701145150327
84,male,2002,0.0002958708557695908
84,male,2003,0.00029294406798329554
84,male,2004,0.0002833928269795211
84,male,2005,0.0002756001300501897
84,male,2006,0.0002632742204728411
84,male,2007,0.00025932837649482546
84,male,2008,0.000253585446645113
84,male,2009,0.0002508235113328939
84,male,2010,0.0002461166334270532
84,male,2011,0.00023857852162479938
84,male,2012,0.00023526473571165984
84,male,2013,0.0002307632222447919
84,male,2014,0.0002263285743847011
84,male,2015,0.00022201986273470941
84,male,2016,0.00021795509353553835
84,male,2017,0.00021691761590655412
84,male,2018,0.0002114994822211812
84,male,2019,0.00020706637131554417
85,female,1977,0.0003494373495087046
85,female,1978,0.00034009031293631833
85,female,1979,0.00033080597308330966
85,female,1980,0.0003271627425039454
85,female,1981,0.00032768731589821455
85,female,1982,0.0003249729629415793
85,female,1983,0.00032583632884096295
85,female,1984,0.000316538647419588
85,female,1985,0.0003134668903195241
85,female,1986,0.00030329330047646657
85,female,1987,0.00029288312649485124
85,female,1988,0.0002792663023199684
85,female,1989,0.0002712132396029018
85,female,1990,0.0002668937313131676
85,female,1991,0.0002619482644840131
85,female,1992,0.00025331513433983016
85,female,1993,0.00024845407089221956
85,female,1994,0.0002416271624099233
85,female,1995,0.00023780195973832434
85,female,1996,0.00023165697372208843
85,female,1997,0.00022888729325654477
85,female,1998,0.00022603120406680205
85,female,1999,0.00022398022868213305
85,female,2000,0.0002219010977774184
85,female,2001,0.00021765863123827549
85,female,2002,0.00021312675636384488
85,female,2003,0.00021138117272970864
85,female,2004,0.0002033480972160464
85,female,2005,0.00020007665329080702
85,female,2006,0.00018644359331963686
85,female,2007,0.0001843927620207071
85,female,2008,0.0001782786902053704
85,female,2009,0.0001749786736741346
85,female,2010,0.00017252813880016282
85,female,2011,0.0001693515441822971
85,female,2012,0.00016705154307036712
85,female,2013,0.00016524783113441795
85,female,2014,0.0001624282763567474
85,female,2015,0.00015929239068577296
85,female,2016,0.00015569635306307585
85,female,2017,0.00015479808115885903
85,female,2018,0.0001510343404779577
85,female,2019,0.0001478825715291445
85,male,1977,0.00047733272675776835
